Temparature,Humidity,Moisture,Cluster,Soil Type
26.0,52.0,38.0,4,Sandy
29.000000000000004,52.0,45.0,0,Loamy
34.0,65.0,62.0,1,Clayey
32.0,62.0,34.0,2,Red
28.0,54.00000000000001,46.0,3,Clayey
26.0,52.0,35.0,4,Sandy
25.0,50.0,64.0,2,Red
33.0,64.0,50.0,0,Loamy
30.0,59.99999999999999,42.0,4,Sandy
29.000000000000004,58.0,33.0,1,Clayey
27.0,54.00000000000001,28.000000000000004,3,Clayey
25.0,50.0,65.0,0,Loamy
32.0,62.0,41.0,3,Clayey
26.0,52.0,31.0,2,Red
33.0,64.0,34.0,3,Clayey
25.0,50.0,39.0,4,Sandy
28.0,54.00000000000001,65.0,1,Clayey
29.000000000000004,58.0,52.0,0,Loamy
30.0,59.99999999999999,44.0,4,Sandy
35.0,68.0,33.0,2,Red
28.0,54.00000000000001,37.0,1,Clayey
33.0,64.0,39.0,3,Clayey
26.0,52.0,44.0,4,Sandy
30.0,59.99999999999999,63.0,2,Red
32.0,62.0,30.0,0,Loamy
37.0,70.0,32.0,1,Clayey
26.0,52.0,36.0,3,Clayey
29.000000000000004,58.0,40.0,2,Red
30.0,59.99999999999999,27.0,0,Loamy
34.0,65.0,38.0,3,Clayey
36.0,68.0,38.0,4,Sandy
26.0,52.0,48.0,0,Loamy
28.0,54.00000000000001,35.0,1,Clayey
30.0,59.99999999999999,61.0,0,Loamy
37.0,70.0,37.0,3,Clayey
29.000000000000004,58.0,34.0,4,Sandy
27.0,54.00000000000001,30.0,3,Clayey
30.0,59.99999999999999,57.99999999999999,0,Loamy
32.0,62.0,34.0,2,Red
34.0,65.0,60.0,1,Clayey
35.0,67.0,42.0,4,Sandy
38.0,70.0,48.0,0,Loamy
26.0,52.0,32.0,1,Clayey
29.000000000000004,58.0,43.0,3,Clayey
30.0,59.99999999999999,28.999999999999996,2,Red
33.0,64.0,51.0,4,Sandy
34.0,65.0,31.0,2,Red
36.0,68.0,33.0,1,Clayey
28.0,54.00000000000001,38.0,3,Clayey
30.0,59.99999999999999,47.0,4,Sandy
31.0,62.0,63.0,2,Red
27.0,52.99999999999999,43.0,1,Clayey
34.0,65.0,54.0,0,Loamy
29.000000000000004,58.0,37.0,4,Sandy
32.0,62.0,34.0,2,Red
28.0,54.00000000000001,41.0,3,Clayey
30.0,59.99999999999999,49.0,0,Loamy
34.0,65.0,64.0,1,Clayey
27.0,52.99999999999999,35.0,1,Clayey
36.0,68.0,62.0,2,Red
34.0,65.0,57.00000000000001,1,Clayey
29.000000000000004,58.0,55.0,0,Loamy
30.0,59.99999999999999,38.0,4,Sandy
26.0,52.0,39.0,3,Clayey
31.0,62.0,32.0,2,Red
34.0,65.0,48.0,0,Loamy
27.0,52.99999999999999,34.0,1,Clayey
33.0,64.0,31.0,2,Red
29.000000000000004,58.0,42.0,3,Clayey
30.0,59.99999999999999,47.0,4,Sandy
27.0,52.99999999999999,58.99999999999999,0,Loamy
34.0,65.0,63.0,2,Red
28.0,54.00000000000001,43.0,3,Clayey
30.0,59.99999999999999,40.0,4,Sandy
29.000000000000004,58.0,65.0,1,Clayey
26.0,52.0,58.99999999999999,0,Loamy
31.0,62.0,44.0,4,Sandy
35.0,67.0,28.000000000000004,3,Clayey
27.0,52.99999999999999,30.0,1,Clayey
29.000000000000004,58.0,61.0,0,Loamy
30.0,59.99999999999999,26.0,1,Clayey
36.0,68.0,41.0,2,Red
28.0,54.00000000000001,25.0,4,Sandy
25.0,50.0,32.0,3,Clayey
38.0,72.0,51.0,0,Loamy
36.0,59.99999999999999,43.0,4,Sandy
29.000000000000004,58.0,57.00000000000001,1,Clayey
27.58,59.21,31.269999999999996,0,Loamy
27.45,66.38,50.14000000000001,1,Clayey
27.25,63.62,40.35,1,Clayey
28.84,58.91,33.06,3,Clayey
25.86,48.46,46.25,2,Red
25.590000000000003,63.6,46.33,3,Clayey
29.17,68.19,30.65,4,Sandy
26.76,64.22,53.629999999999995,4,Sandy
27.659999999999997,53.57999999999999,40.96,2,Red
28.27,52.88,43.3,1,Clayey
38.39,69.51,65.09,3,Clayey
28.74,56.79999999999999,54.07000000000001,0,Loamy
30.63,63.88,38.71,0,Loamy
26.02,52.459999999999994,31.12,0,Loamy
23.71,51.25,30.5,1,Clayey
30.63,61.45,23.18,1,Clayey
27.649999999999995,58.09,69.07,3,Clayey
31.19,60.94,30.51,1,Clayey
37.12,72.87,47.06,4,Sandy
29.44,59.34000000000001,55.510000000000005,0,Loamy
38.42,73.97,50.41,0,Loamy
29.04,71.09,21.12,4,Sandy
23.59,55.82,62.919999999999995,2,Red
38.56,73.46,30.62,1,Clayey
30.87,63.94,46.2,4,Sandy
25.830000000000002,51.1,59.57,4,Sandy
34.51,63.92,70.0,0,Loamy
31.92,62.59,27.779999999999998,4,Sandy
27.53,55.04,57.07,4,Sandy
24.529999999999998,67.4,48.49,2,Red
30.819999999999997,51.91,54.23,2,Red
28.17,58.68999999999999,34.11,4,Sandy
29.250000000000004,54.52000000000001,41.4,3,Clayey
30.76,66.64,56.32,2,Red
27.84,66.53,36.89,0,Loamy
29.21,64.21,54.949999999999996,2,Red
29.499999999999996,55.42,51.17,2,Red
32.98,62.02000000000001,33.12,2,Red
24.240000000000002,59.04,50.07,0,Loamy
33.54,59.28,52.09,3,Clayey
34.43,72.28,62.22,3,Clayey
32.19,68.94,67.37,4,Sandy
32.55,71.46,67.14,3,Clayey
28.38,52.02,43.83,0,Loamy
25.4,43.56999999999999,38.51,2,Red
28.38,47.580000000000005,34.86,1,Clayey
28.37,59.8,35.35,1,Clayey
34.95,64.93,62.63000000000001,3,Clayey
35.56,74.88,52.16,3,Clayey
24.05,52.76,58.9,4,Sandy
23.42,53.65,69.68,4,Sandy
31.68,62.13999999999999,42.55,1,Clayey
31.03,69.0,49.46,0,Loamy
31.78,44.27,45.07,0,Loamy
22.3,60.64,40.78,4,Sandy
26.390000000000004,52.62,22.27,4,Sandy
29.36,64.39,20.0,2,Red
26.670000000000005,47.94,34.08,1,Clayey
26.75,56.87,20.0,3,Clayey
30.64,65.77,32.86,3,Clayey
29.89,48.59,38.0,3,Clayey
37.09,63.720000000000006,47.99,2,Red
21.78,55.60000000000001,33.66,0,Loamy
30.42,70.37,55.92,2,Red
28.09,56.62,36.14,0,Loamy
22.950000000000003,55.86,31.579999999999995,1,Clayey
32.06,75.56,55.730000000000004,4,Sandy
38.4,67.88,62.06,3,Clayey
26.47,62.91,46.87,4,Sandy
23.35,59.980000000000004,63.83,1,Clayey
26.75,58.1,39.27,3,Clayey
30.42,48.76,42.28,2,Red
27.31,57.300000000000004,22.41,0,Loamy
31.5,74.7,23.25,3,Clayey
27.63,69.25,41.18,0,Loamy
22.59,45.7,33.13,1,Clayey
35.97,60.1,26.8,1,Clayey
27.689999999999998,55.55,27.899999999999995,2,Red
24.270000000000003,52.43,62.34,0,Loamy
30.42,50.010000000000005,26.27,1,Clayey
31.52,44.64,42.86,2,Red
30.64,57.56999999999999,46.45,2,Red
22.169999999999998,47.78,43.03,3,Clayey
36.5,65.85,42.33,0,Loamy
35.13,65.69,37.76,1,Clayey
31.24,55.88,37.05,4,Sandy
29.770000000000003,46.18,63.79,0,Loamy
25.86,46.65,32.67,3,Clayey
30.15,60.769999999999996,42.93,3,Clayey
29.46,59.400000000000006,49.1,3,Clayey
29.37,64.45,64.66,1,Clayey
23.63,58.75,35.6,2,Red
32.45,60.24,55.92,4,Sandy
37.34,63.39,25.36,2,Red
30.41,67.24,65.58,0,Loamy
31.9,55.45,59.87,4,Sandy
28.87,49.91,35.02,2,Red
29.67,58.75,40.69,4,Sandy
32.2,50.72,39.63,3,Clayey
29.240000000000002,62.15,51.64999999999999,1,Clayey
34.15,71.16,41.7,2,Red
31.56,55.15,56.8,2,Red
24.76,56.88,20.0,3,Clayey
34.15,63.96,47.64,2,Red
30.7,57.71,38.36,4,Sandy
34.89,53.790000000000006,37.58,2,Red
26.7,63.42,24.65,4,Sandy
23.750000000000004,61.43,52.94,1,Clayey
25.73,52.9,46.14,2,Red
25.36,50.91,24.39,0,Loamy
36.35,61.88999999999999,65.38,1,Clayey
21.910000000000004,46.66,45.27,1,Clayey
26.44,65.84,50.199999999999996,3,Clayey
28.93,50.279999999999994,20.33,2,Red
30.06,53.68,70.0,4,Sandy
24.61,63.9,70.0,0,Loamy
29.38,60.44,45.57,3,Clayey
30.2,51.16,32.5,2,Red
32.46,68.2,64.77,4,Sandy
24.259999999999998,53.19,67.73,3,Clayey
37.9,75.51,25.35,3,Clayey
31.099999999999998,55.48,46.43,4,Sandy
31.75,62.4,34.97,1,Clayey
27.29,57.56,53.09,1,Clayey
26.71,55.89000000000001,69.87,0,Loamy
29.250000000000004,56.07,33.6,1,Clayey
29.73,58.67,29.64,2,Red
31.619999999999997,57.88,42.77,3,Clayey
26.47,55.37,59.34,4,Sandy
21.919999999999998,52.99999999999999,33.57,1,Clayey
24.35,58.10999999999999,34.04,3,Clayey
29.55,45.99,50.06,2,Red
28.29,60.24,33.44,1,Clayey
31.309999999999995,73.26,70.0,0,Loamy
30.050000000000004,58.21,23.31,0,Loamy
31.27,62.18,32.06,4,Sandy
32.51,61.45,70.0,0,Loamy
23.98,44.940000000000005,20.0,4,Sandy
30.28,69.29,53.16,4,Sandy
28.02,54.849999999999994,55.71,4,Sandy
28.66,56.25999999999999,39.29,1,Clayey
30.850000000000005,70.39,29.350000000000005,1,Clayey
24.51,62.55,65.83,0,Loamy
22.33,56.84,29.98,1,Clayey
29.749999999999996,55.38999999999999,28.42,4,Sandy
28.27,52.86,22.36,3,Clayey
33.27,67.2,40.49,0,Loamy
38.53,70.2,28.940000000000005,0,Loamy
23.66,55.66,31.320000000000004,2,Red
35.01,71.58,39.2,1,Clayey
36.92,69.78,32.64,3,Clayey
23.740000000000002,47.23,43.64,2,Red
30.51,48.99,28.68,1,Clayey
27.77,42.89,59.10000000000001,2,Red
39.65,63.54999999999999,47.33,2,Red
37.27,64.08,36.28,2,Red
27.929999999999996,64.17,62.13000000000001,1,Clayey
29.95,61.75,36.58,1,Clayey
24.97,59.24,47.46,4,Sandy
27.680000000000003,61.68,59.47,3,Clayey
34.57,69.61,57.230000000000004,3,Clayey
35.1,70.14,56.120000000000005,0,Loamy
33.71,59.419999999999995,29.32,1,Clayey
24.75,45.31,49.7,3,Clayey
37.36,59.64,53.7,0,Loamy
32.22,56.29,48.76,1,Clayey
32.35,48.81,46.33,0,Loamy
40.0,80.0,59.989999999999995,3,Clayey
25.849999999999998,62.32,48.82,2,Red
34.51,54.79,54.12,0,Loamy
29.66,43.74,43.31,2,Red
31.75,46.82,37.35,2,Red
25.43,68.65,39.28,2,Red
28.58,71.66,46.04,2,Red
25.09,54.559999999999995,34.08,2,Red
29.76,45.13000000000001,30.909999999999997,2,Red
31.38,69.36,35.4,1,Clayey
36.7,70.28,23.31,4,Sandy
26.910000000000004,44.27,23.76,0,Loamy
30.83,53.08,47.02,1,Clayey
31.98,55.89000000000001,57.60000000000001,2,Red
30.46,48.84,33.31,2,Red
29.240000000000002,54.290000000000006,47.85,3,Clayey
31.38,67.84,59.74,0,Loamy
29.08,54.19,61.72,3,Clayey
40.0,60.8,50.41,1,Clayey
32.61,54.79,70.0,1,Clayey
36.12,72.17,33.4,4,Sandy
23.88,57.050000000000004,35.25,0,Loamy
30.78,64.7,35.01,3,Clayey
36.46,65.08,43.87,2,Red
40.0,77.61,29.53,0,Loamy
32.0,57.73,35.48,1,Clayey
32.69,69.21,22.19,1,Clayey
29.63,45.37,21.76,1,Clayey
34.22,56.39,49.89,2,Red
36.56,76.26,36.26,4,Sandy
